author_id,last_name,first_name,middle_name,gender,total_pubs,total_cites,avg_cites,med_coauthors,n_unique_coauthors,hindex,rank_total_pubs,rank_total_cites,rank_avg_cites,rank_hindex
DuongT,Duong,Ta,Nguyen,,13,445,34.231,3.0,38,10,498,1209,8235,287
DiVentraM,DiVentra,M,,,18,522,29.0,1.0,15,10,279,960,9819,287
HongM,Hong,Mingyi,,M,12,632,52.667,3.0,22,10,574,763,5250,287
CostaL,Costa,Leonardo,,M,18,380,21.111,3.0,28,10,279,1480,12799,287
ZhaoL,Zhao,Liang,,M,24,407,16.958,3.0,80,10,167,1361,15649,287
MutluO,Mutlu,Onur,,,13,282,21.692,6.0,55,9,498,2077,12670,371
FernandezD,Fernandez,D,Mndez,,12,335,27.917,3.5,40,9,574,1699,10274,371
DuarteM,Duarte,Marco,F,M,11,2598,236.182,3.0,31,9,685,108,751,371
GuoJ,Guo,Jin,L,,21,211,10.048,4.0,82,9,214,2810,20953,371
GuoH,Guo,Hailong,,M,22,799,36.318,2.0,45,9,198,558,7688,371
GaoL,Gao,Lianru,,,15,1512,100.8,3.0,41,9,384,226,2384,371
ZlatanovN,Zlatanov,Nikola,,M,10,471,47.1,2.0,9,9,827,1117,5900,371
SiegwartR,Siegwart,Roland,Y,M,11,279,25.364,6.0,48,9,685,2109,11055,371
TriverioP,Triverio,Piero,,M,18,216,12.0,2.0,10,9,279,2748,19273,371
GaoZ,Gao,Zichun,,,18,566,31.444,4.0,62,9,279,872,9053,371
ChanC,Chan,Chi,Ho,,14,703,50.214,2.0,24,9,436,677,5522,371
ZivnyS,Zivny,Stanislav,,M,34,241,7.088,2.0,37,9,82,2448,25277,371
ChenG,Chen,Gongyu,,M,21,284,13.524,3.0,81,9,214,2057,17876,371
SunJ,Sun,Jun,,,27,448,16.593,3.0,87,9,135,1195,15699,371
MouL,Mou,Lichao,,male,15,656,43.733,3.0,23,9,384,732,6415,371
vandeWeijerJ,vandeWeijer,Joost,,M,13,430,33.077,3.0,30,9,498,1276,8493,371
KschischangF,Kschischang,Frank,R,M,13,731,56.231,1.0,16,9,498,641,4854,371
HongC,Hong,Choong,Seon,,15,570,38.0,4.0,38,9,384,858,7347,371
AtiaG,Atia,George,,M,12,321,26.75,1.0,9,9,574,1781,10604,371
DixonW,Dixon,Warren,,F,10,625,62.5,2.5,13,9,827,770,4366,371
ChakrabortyS,Chakraborty,Sanjay,,M,26,376,14.462,2.0,50,9,144,1498,17132,371
SongX,Song,Xingyi,,,16,224,14.0,3.5,61,9,344,2636,17504,371
TangH,Tang,Haihong,,,16,201,12.562,3.0,41,9,344,2956,18751,371
WangD,Wang,Dakuo,,,22,318,14.455,3.0,55,9,198,1801,17133,371
XiaoY,Xiao,Yonghui,,,13,577,44.385,3.0,39,9,498,843,6285,371
LatvaahoM,Latvaaho,Matti,,M,14,660,47.143,3.0,29,9,436,723,5898,371
BengtssonM,Bengtsson,Mats,,,11,813,73.909,3.0,23,9,685,550,3556,371
LeoneN,Leone,Nicola,,F,12,952,79.333,3.0,21,9,574,453,3250,371
PershinY,Pershin,Y,V,,15,326,21.733,1.0,12,9,384,1749,12667,371
DoerrB,Doerr,Benjamin,,M,21,371,17.667,1.0,19,9,214,1520,15026,371
LuoJ,Luo,Jun,,,18,346,19.222,2.0,41,9,279,1639,13831,371
HossainE,Hossain,E,,,11,582,52.909,2.0,15,9,685,838,5242,371
ZhengZ,Zheng,Zibin,,M,14,1223,87.357,2.5,27,9,436,309,2892,371
LuoY,Luo,Yunan,,,18,980,54.444,3.0,39,9,279,432,5060,371
MullerM,Muller,Michael,,M,21,361,17.19,3.0,46,9,214,1565,15169,371
DongY,Dong,Yuxiao,,,16,279,17.438,3.0,43,9,344,2109,15133,371
ShaoL,Shao,Ling,,,10,653,65.3,4.0,32,9,827,735,4146,371
GantiR,Ganti,Radha,Krishna,F,9,1741,193.444,2.0,11,9,1014,182,967,371
RabczukT,Rabczuk,T,,,10,1322,132.2,3.0,25,9,827,280,1651,371
